from,end_of_year,total_days,rolling_12_months_avg_rate
ZAR,2015.08.31,365,0.0732324599720548
ZAR,2015.09.30,365,0.07278517030356166
ZAR,2015.10.31,365,0.07234612813232877
ZAR,2015.11.30,365,0.0718175840720548
ZAR,2015.12.31,365,0.0710163914331507
ZAR,2016.01.31,365,0.06950719956986301
ZAR,2016.02.29,366,0.06801518406284153
ZAR,2016.03.31,366,0.06648216482103825
ZAR,2016.04.30,366,0.06510014828005464
ZAR,2016.05.31,366,0.06366429202486339
ZAR,2016.06.30,366,0.06255234324617487
ZAR,2016.07.31,366,0.06167330311284152
ZAR,2016.08.31,366,0.06127005013251366
ZAR,2016.09.30,366,0.061109244837431693
ZAR,2016.10.31,366,0.06102372876256832
ZAR,2016.11.30,366,0.061061737869125686
ZAR,2016.12.31,366,0.0616705497489071
ZAR,2017.01.31,366,0.0627471305046448
ZAR,2017.02.28,365,0.06385245815863014
ZAR,2017.03.31,365,0.06502747962767123
ZAR,2017.04.30,365,0.06578245417835617
ZAR,2017.05.31,365,0.06665760510547945
ZAR,2017.06.30,365,0.06749500165616439
ZAR,2017.07.31,365,0.06778753287589041
ZAR,2017.08.31,365,0.06769831441726028
ZAR,2017.09.30,365,0.06774655503369863
ZAR,2017.10.31,365,0.06750640667123287
ZAR,2017.11.30,365,0.06701842832328767
ZAR,2017.12.31,365,0.06668097188657535
ZAR,2018.01.31,365,0.06650647889123287
ZAR,2018.02.28,365,0.06629558951917808
ZAR,2018.03.31,365,0.06597532892684932
