from,to,end_of_month,average_rate,number_of_days
NOK,EUR,2019.11.30,0.0989014189,30
NOK,EUR,2019.12.31,0.0997364711,31
NOK,EUR,2020.01.31,0.1008426929,31
NOK,EUR,2020.02.29,0.0986731475,29
NOK,EUR,2020.03.31,0.0886586951,31
NOK,EUR,2020.04.30,0.0882604877,30
NOK,EUR,2020.05.31,0.0906303892,31
NOK,EUR,2020.06.30,0.0931475202,30
NOK,EUR,2020.07.31,0.093827225,31
NOK,EUR,2020.08.31,0.0943738135,31
NOK,EUR,2020.09.30,0.0928941661,30
NOK,EUR,2020.10.31,0.0915012172,31
NOK,EUR,2020.11.30,0.0928425391,30
NOK,EUR,2020.12.31,0.0944074674,31
NOK,EUR,2021.01.31,0.096463441,31
NOK,EUR,2021.02.28,0.0971822779,28
NOK,EUR,2021.03.31,0.0984584815,31
NOK,EUR,2021.04.30,0.0995733049,30
NOK,EUR,2021.05.31,0.0991826991,31
NOK,EUR,2021.06.30,0.0985524085,30
NOK,EUR,2021.07.31,0.0964991625,31
NOK,EUR,2021.08.31,0.0959311613,31
NOK,EUR,2021.09.30,0.0980259697,30
NOK,EUR,2021.10.31,0.1017673007,31
NOK,EUR,2021.11.30,0.1002664487,30
NOK,EUR,2021.12.31,0.0985457767,31
NOK,EUR,2022.01.31,0.0998005937,31
NOK,EUR,2022.02.28,0.0993743183,28
NOK,EUR,2022.03.31,0.1028389358,31
NOK,EUR,2022.04.30,0.1039666358,30
NOK,EUR,2022.05.31,0.0986784546,31
NOK,EUR,2022.06.30,0.0971372784,30
NOK,EUR,2022.07.31,0.0980963974,31
NOK,EUR,2022.08.31,0.1016350256,31
NOK,EUR,2022.09.30,0.0986342097,30
NOK,EUR,2022.10.31,0.0960374531,31
NOK,EUR,2022.11.30,0.0967503444,30
NOK,EUR,2022.12.31,0.0956661357,31
MXN,EUR,2010.01.31,0.0545051025,31
MXN,EUR,2010.02.28,0.0565227899,28
MXN,EUR,2010.03.31,0.058553997,31
MXN,EUR,2010.04.30,0.0607850503,30
MXN,EUR,2010.05.31,0.0624139428,31
MXN,EUR,2010.06.30,0.0643615596,30
MXN,EUR,2010.07.31,0.0610622,31
MXN,EUR,2010.08.31,0.0607693208,31
MXN,EUR,2010.09.30,0.0598415764,30
MXN,EUR,2010.10.31,0.0578795014,31
MXN,EUR,2010.11.30,0.0593448983,30
MXN,EUR,2010.12.31,0.061082794,31
MXN,EUR,2011.01.31,0.0616602219,31
MXN,EUR,2011.02.28,0.060736045,28
MXN,EUR,2011.03.31,0.0594862273,31
MXN,EUR,2011.04.30,0.0591376667,30
MXN,EUR,2011.05.31,0.0599601192,31
MXN,EUR,2011.06.30,0.058842856,30
MXN,EUR,2011.07.31,0.0598725875,31
MXN,EUR,2011.08.31,0.0570434826,31
MXN,EUR,2011.09.30,0.0559210325,30
MXN,EUR,2011.10.31,0.0542174454,31
MXN,EUR,2011.11.30,0.0538179712,30
MXN,EUR,2011.12.31,0.0551624238,31
MXN,EUR,2012.01.31,0.0577477303,31
MXN,EUR,2012.02.29,0.0591161945,29
MXN,EUR,2012.03.31,0.0594624697,31
MXN,EUR,2012.04.30,0.0582455636,30
MXN,EUR,2012.05.31,0.0573397843,31
MXN,EUR,2012.06.30,0.0572213586,30
MXN,EUR,2012.07.31,0.0609142848,31
MXN,EUR,2012.08.31,0.0612441676,31
MXN,EUR,2012.09.30,0.0600823693,30
MXN,EUR,2012.10.31,0.0598224065,31
MXN,EUR,2012.11.30,0.0595849761,30
MXN,EUR,2012.12.31,0.0592287568,31
MXN,EUR,2013.01.31,0.059255629,31
MXN,EUR,2013.02.28,0.058878641,28
MXN,EUR,2013.03.31,0.0616575058,31
MXN,EUR,2013.04.30,0.0629650726,30
MXN,EUR,2013.05.31,0.0627648653,31
MXN,EUR,2013.06.30,0.0586781503,30
MXN,EUR,2013.07.31,0.0599207931,31
MXN,EUR,2013.08.31,0.0582677937,31
MXN,EUR,2013.09.30,0.0572953165,30
MXN,EUR,2013.10.31,0.0564361188,31
MXN,EUR,2013.11.30,0.0567469586,30
MXN,EUR,2013.12.31,0.0561784594,31
MXN,EUR,2014.01.31,0.0556063411,31
MXN,EUR,2014.02.28,0.0551310544,28
MXN,EUR,2014.03.31,0.0547816031,31
MXN,EUR,2014.04.30,0.0554505359,30
MXN,EUR,2014.05.31,0.0562873499,31
MXN,EUR,2014.06.30,0.0566524732,30
MXN,EUR,2014.07.31,0.0568839345,31
MXN,EUR,2014.08.31,0.0570880423,31
MXN,EUR,2014.09.30,0.0586100566,30
MXN,EUR,2014.10.31,0.0585034882,31
MXN,EUR,2014.11.30,0.0588980024,30
MXN,EUR,2014.12.31,0.0558663918,31
MXN,EUR,2015.01.31,0.058484428,31
MXN,EUR,2015.02.28,0.0590574678,28
MXN,EUR,2015.03.31,0.0605934183,31
MXN,EUR,2015.04.30,0.0609249904,30
MXN,EUR,2015.05.31,0.0586608829,31
MXN,EUR,2015.06.30,0.0575935927,30
MXN,EUR,2015.07.31,0.0570628147,31
MXN,EUR,2015.08.31,0.0544261963,31
MXN,EUR,2015.09.30,0.0528435376,30
MXN,EUR,2015.10.31,0.0537520143,31
MXN,EUR,2015.11.30,0.0559825369,30
MXN,EUR,2015.12.31,0.0538154186,31
MXN,EUR,2016.01.31,0.0511504493,31
MXN,EUR,2016.02.29,0.0488058663,29
MXN,EUR,2016.03.31,0.0509456539,31
MXN,EUR,2016.04.30,0.0504365582,30
MXN,EUR,2016.05.31,0.0488669291,31
MXN,EUR,2016.06.30,0.0476314498,30
MXN,EUR,2016.07.31,0.0486771846,31
MXN,EUR,2016.08.31,0.0483028525,31
MXN,EUR,2016.09.30,0.0465311417,30
MXN,EUR,2016.10.31,0.0478097185,31
MXN,EUR,2016.11.30,0.0461930727,30
MXN,EUR,2016.12.31,0.0462445886,31
MXN,EUR,2017.01.31,0.0441237446,31
MXN,EUR,2017.02.28,0.0462635308,28
MXN,EUR,2017.03.31,0.0484338592,31
MXN,EUR,2017.04.30,0.0498621851,30
MXN,EUR,2017.05.31,0.0482008484,31
MXN,EUR,2017.06.30,0.0490315456,30
MXN,EUR,2017.07.31,0.0486672436,31
MXN,EUR,2017.08.31,0.0475538475,31
MXN,EUR,2017.09.30,0.0470984557,30
MXN,EUR,2017.10.31,0.0452354598,31
MXN,EUR,2017.11.30,0.04497234,30
MXN,EUR,2017.12.31,0.0440247093,31
MXN,EUR,2018.01.31,0.0433085587,31
MXN,EUR,2018.02.28,0.0434242283,28
MXN,EUR,2018.03.31,0.0435578309,31
MXN,EUR,2018.04.30,0.0443564464,30
MXN,EUR,2018.05.31,0.0433277651,31
MXN,EUR,2018.06.30,0.0422347609,30
MXN,EUR,2018.07.31,0.0449179121,31
MXN,EUR,2018.08.31,0.0459958344,31
MXN,EUR,2018.09.30,0.0451216667,30
MXN,EUR,2018.10.31,0.0454587936,31
MXN,EUR,2018.11.30,0.043496544,30
MXN,EUR,2018.12.31,0.0437161641,31
MXN,EUR,2019.01.31,0.0456166589,31
MXN,EUR,2019.02.28,0.0459281944,28
MXN,EUR,2019.03.31,0.0459508954,31
MXN,EUR,2019.04.30,0.0469706037,30
MXN,EUR,2019.05.31,0.0468020229,31
MXN,EUR,2019.06.30,0.0458676104,30
MXN,EUR,2019.07.31,0.0467718354,31
MXN,EUR,2019.08.31,0.0456912084,31
MXN,EUR,2019.09.30,0.0463313617,30
MXN,EUR,2019.10.31,0.0468233252,31
MXN,EUR,2019.11.30,0.0469015554,30
MXN,EUR,2019.12.31,0.0471192365,31
MXN,EUR,2020.01.31,0.0478693876,31
MXN,EUR,2020.02.29,0.0486713425,29
MXN,EUR,2020.03.31,0.0409457258,31
MXN,EUR,2020.04.30,0.0380230157,30
MXN,EUR,2020.05.31,0.0389744072,31
MXN,EUR,2020.06.30,0.0398573938,30
MXN,EUR,2020.07.31,0.0389875568,31
MXN,EUR,2020.08.31,0.0381557624,31
MXN,EUR,2020.09.30,0.0392225373,30
MXN,EUR,2020.10.31,0.0399429855,31
MXN,EUR,2020.11.30,0.0413636693,30
MXN,EUR,2020.12.31,0.0411944496,31
MXN,EUR,2021.01.31,0.0411920004,31
MXN,EUR,2021.02.28,0.0407413399,28
MXN,EUR,2021.03.31,0.0404131228,31
MXN,EUR,2021.04.30,0.0416982565,30
MXN,EUR,2021.05.31,0.0412225265,31
MXN,EUR,2021.06.30,0.041422173,30
MXN,EUR,2021.07.31,0.0423829799,31
MXN,EUR,2021.08.31,0.0423145513,31
MXN,EUR,2021.09.30,0.042423506,30
MXN,EUR,2021.10.31,0.0421517463,31
MXN,EUR,2021.11.30,0.0420259794,30
MXN,EUR,2021.12.31,0.042282948,31
MXN,EUR,2022.01.31,0.0430771255,31
MXN,EUR,2022.02.28,0.043069402,28
MXN,EUR,2022.03.31,0.0441745612,31
MXN,EUR,2022.04.30,0.0460354082,30
MXN,EUR,2022.05.31,0.047227897,31
MXN,EUR,2022.06.30,0.0473707473,30
MXN,EUR,2022.07.31,0.0478246594,31
MXN,EUR,2022.08.31,0.0490591256,31
MXN,EUR,2022.09.30,0.0502821672,30
MXN,EUR,2022.10.31,0.0508649156,31
MXN,EUR,2022.11.30,0.0503345353,30
MXN,EUR,2022.12.31,0.048252374,31
USD,EUR,2010.01.31,0.7006118512,31
USD,EUR,2010.02.28,0.7315105705,28
USD,EUR,2010.03.31,0.7363851952,31
USD,EUR,2010.04.30,0.7437888399,30
USD,EUR,2010.05.31,0.7940224497,31
USD,EUR,2010.06.30,0.8189958474,30
